Value,Count,Percentage
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,2882,0.48
6,5891,0.98
7,17377,2.90
8,24081,4.01
9,52792,8.80
10,55919,9.32
11,66511,11.09
12,73666,12.28
13,74462,12.41
14,79122,13.19
15,52657,8.78
16,50378,8.40
17,21807,3.63
18,22455,3.74
19,0,0.00
20,0,0.00Value,Count,Percentage
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,2882,0.48
6,5891,0.98
7,17377,2.90
8,24081,4.01
9,52792,8.80
10,55919,9.32
11,66511,11.09
12,73666,12.28
13,74462,12.41
14,79122,13.19
15,52657,8.78
16,50378,8.40
17,21807,3.63
18,22455,3.74
19,0,0.00
20,0,0.00Value,Count,Percentage
1,0,0.00%
2,0,0.00%
3,0,0.00%
4,0,0.00%
5,2718,0.45%
6,5792,0.97%
7,17516,2.92%
8,23764,3.96%
9,52962,8.83%
10,55773,9.30%
11,66929,11.15%
12,73403,12.23%
13,74341,12.39%
14,79160,13.19%
15,52529,8.75%
16,50669,8.44%
17,21917,3.65%
18,22527,3.75%
19,0,0.00%
20,0,0.00%Value,Count,Percentage
1,0,0.00%
2,0,0.00%
3,0,0.00%
4,0,0.00%
5,2718,0.45%
6,5792,0.97%
7,17516,2.92%
8,23764,3.96%
9,52962,8.83%
10,55773,9.30%
11,66929,11.15%
12,73403,12.23%
13,74341,12.39%
14,79160,13.19%
15,52529,8.75%
16,50669,8.44%
17,21917,3.65%
18,22527,3.75%
19,0,0.00%
20,0,0.00%